experiment,name,algorithm,objective,steps,left_seats,right_seats,center_seats,left_prop,right_prop,center_prop,left_adv,right_adv,center_adv,pop_cv
baseline_greedy_greedy_neutral_5000s_20251105_174100_seed42,baseline_greedy,greedy,neutral,5000,1,10,0,4.46376290633663,5.37878009629767,1.1574569973656996,-3.4637629063366298,4.62121990370233,-1.1574569973656996,0.01826693218802622
baseline_sa_long_simulated_annealing_neutral_5000s_20251105_132938_seed42,baseline_sa_long,simulated_annealing,neutral,5000,2,9,0,4.46376290633663,5.37878009629767,1.1574569973656996,-2.4637629063366298,3.62121990370233,-1.1574569973656996,0.021432780491531002
baseline_sa_long_simulated_annealing_neutral_5000s_20251105_171937_seed42,baseline_sa_long,simulated_annealing,neutral,5000,2,9,0,4.46376290633663,5.37878009629767,1.1574569973656996,-2.4637629063366298,3.62121990370233,-1.1574569973656996,0.021432780491531002
baseline_sa_long_simulated_annealing_neutral_5000s_20251105_174039_seed42,baseline_sa_long,simulated_annealing,neutral,5000,2,9,0,4.46376290633663,5.37878009629767,1.1574569973656996,-2.4637629063366298,3.62121990370233,-1.1574569973656996,0.021432780491531002
baseline_sa_short_simulated_annealing_neutral_1000s_20251105_174028_seed42,baseline_sa_short,simulated_annealing,neutral,1000,1,10,0,4.46376290633663,5.37878009629767,1.1574569973656996,-3.4637629063366298,4.62121990370233,-1.1574569973656996,0.10524448892776289
maximize_left_extreme_11d_500s_20251105_130749_seed42,unknown,unknown,unknown,500,2,9,0,4.46376290633663,5.37878009629767,1.1574569973656996,-2.4637629063366298,3.62121990370233,-1.1574569973656996,0.4243867449038729
maximize_left_moderate_11d_500s_20251105_130442_seed42,unknown,unknown,unknown,500,2,9,0,4.46376290633663,5.37878009629767,1.1574569973656996,-2.4637629063366298,3.62121990370233,-1.1574569973656996,0.4243867449038729
maximize_right_extreme_11d_500s_20251105_130616_seed42,unknown,unknown,unknown,500,2,9,0,4.46376290633663,5.37878009629767,1.1574569973656996,-2.4637629063366298,3.62121990370233,-1.1574569973656996,0.4243867449038729
neutral_moderate_11d_500s_20251105_130254_seed42,unknown,unknown,unknown,500,1,10,0,4.46376290633663,5.37878009629767,1.1574569973656996,-3.4637629063366298,4.62121990370233,-1.1574569973656996,0.34224663206744765
neutral_moderate_11d_500s_20251105_130343_seed42,unknown,unknown,unknown,500,1,10,0,4.46376290633663,5.37878009629767,1.1574569973656996,-3.4637629063366298,4.62121990370233,-1.1574569973656996,0.34224663206744765
partisan_right_extreme_simulated_annealing_maximize_right_extreme_3000s_20251105_132959_seed42,partisan_right_extreme,simulated_annealing,maximize_right_extreme,3000,1,10,0,4.46376290633663,5.37878009629767,1.1574569973656996,-3.4637629063366298,4.62121990370233,-1.1574569973656996,0.016639483007365518
partisan_right_extreme_simulated_annealing_maximize_right_extreme_3000s_20251105_171959_seed42,partisan_right_extreme,simulated_annealing,maximize_right_extreme,3000,1,10,0,4.46376290633663,5.37878009629767,1.1574569973656996,-3.4637629063366298,4.62121990370233,-1.1574569973656996,0.016639483007365518
test_greedy_greedy_neutral_100s_20251105_132751_seed42,test_greedy,greedy,neutral,100,0,11,0,4.46376290633663,5.37878009629767,1.1574569973656996,-4.46376290633663,5.62121990370233,-1.1574569973656996,0.7581843506370743
test_greedy_greedy_neutral_100s_20251105_132913_seed42,test_greedy,greedy,neutral,100,0,11,0,4.46376290633663,5.37878009629767,1.1574569973656996,-4.46376290633663,5.62121990370233,-1.1574569973656996,0.7581843506370743
test_sa_simulated_annealing_neutral_100s_20251105_132904_seed42,test_sa,simulated_annealing,neutral,100,0,11,0,4.46376290633663,5.37878009629767,1.1574569973656996,-4.46376290633663,5.62121990370233,-1.1574569973656996,0.7572561948778087
