experiment,goal,strength,left_seats,right_seats,center_seats,left_proportional,right_proportional,center_proportional,left_advantage,right_advantage,center_advantage
maximize_left_extreme_11d_500s_20251105_130749_seed42,maximize_left,extreme,2,9,0,4.46376290633663,5.37878009629767,1.1574569973656996,-2.4637629063366298,3.62121990370233,-1.1574569973656996
maximize_left_moderate_11d_500s_20251105_130442_seed42,maximize_left,moderate,2,9,0,4.46376290633663,5.37878009629767,1.1574569973656996,-2.4637629063366298,3.62121990370233,-1.1574569973656996
maximize_right_extreme_11d_500s_20251105_130616_seed42,maximize_right,extreme,2,9,0,4.46376290633663,5.37878009629767,1.1574569973656996,-2.4637629063366298,3.62121990370233,-1.1574569973656996
neutral_moderate_11d_500s_20251105_130254_seed42,neutral,moderate,1,10,0,4.46376290633663,5.37878009629767,1.1574569973656996,-3.4637629063366298,4.62121990370233,-1.1574569973656996
neutral_moderate_11d_500s_20251105_130343_seed42,neutral,moderate,1,10,0,4.46376290633663,5.37878009629767,1.1574569973656996,-3.4637629063366298,4.62121990370233,-1.1574569973656996
